pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,17,2,70,2,,,,,296.71042740001576,297.71412069996586,297.71412069996586,297.71412069996586,297.71412069996586,297.71412069996586,298.7259697999689,298.7259697999689,c,1,0.8611247999942861,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,17,3,71,3,,,,,299.61161829996854,300.6159095999901,300.6159095999901,300.6159095999901,300.6159095999901,300.6159095999901,301.6109924999764,301.6109924999764,z,1,0.5460784999886528,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,18,0,72,0,,,,,302.18092949996935,303.1804194999859,303.1804194999859,303.1804194999859,303.1804194999859,303.19669760001125,304.18096550001064,304.18096550001064,x,1,0.4741069999872707,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,18,1,73,1,,,,,304.68136190000223,305.68065499997465,305.68065499997465,305.68065499997465,305.68065499997465,305.6971792000113,306.68143759999657,306.68143759999657,v,1,0.6545733000384644,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,18,2,74,2,,,,,307.3635867999983,308.36396599997533,308.36396599997533,308.36396599997533,308.36396599997533,308.36396599997533,309.3650224999874,309.3650224999874,c,1,0.7731351000256836,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,18,3,75,3,,,,,310.16946900001494,311.16443970002,311.16443970002,311.16443970002,311.16443970002,311.18087440001545,312.1662801000057,312.1662801000057,z,1,0.4797736000036821,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,19,0,76,0,,,,,312.66415759996744,313.6566423000186,313.6566423000186,313.6566423000186,313.6566423000186,313.6810947000049,314.66441600001417,314.66441600001417,x,1,0.5694903999683447,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,19,1,77,1,,,,,315.2645247000037,316.26489779999247,316.26489779999247,316.26489779999247,316.26489779999247,316.26489779999247,317.26512160000857,317.26512160000857,v,1,0.6602333000046201,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,19,2,78,2,,,,,317.94860619999235,318.93903770000907,318.93903770000907,318.93903770000907,318.93903770000907,318.9576442000107,319.9493502000114,319.9493502000114,c,1,0.8103530000080355,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,19,3,79,3,,,,,320.7929125999799,321.7929358999827,321.7929358999827,321.7929358999827,321.7929358999827,321.8119033999974,322.79987789998995,322.79987789998995,z,1,0.5485584000125527,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,20,0,80,0,,,,,323.3668692999636,324.3670839999686,324.3670839999686,324.3670839999686,324.3670839999686,324.3670839999686,325.3610792999971,325.3610792999971,x,1,0.38453759998083115,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,20,1,81,1,,,,,325.7688039999921,326.7683621000033,326.7683621000033,326.7683621000033,326.7683621000033,326.7683621000033,327.7696422999725,327.7696422999725,v,1,0.7492423999938183,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,20,2,82,2,,,,,328.53588440001477,329.535850699991,329.535850699991,329.535850699991,329.535850699991,329.535850699991,330.5349248999846,330.5349248999846,c,1,0.8512544999830425,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,20,3,83,3,,,,,331.41853710002033,332.4089323999942,332.4089323999942,332.4089323999942,332.4089323999942,332.42885690002004,333.40522040001815,333.40522040001815,z,1,0.4899726000148803,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,21,0,84,0,,,,,333.9205968999886,334.9199701999896,334.9199701999896,334.9199701999896,334.9199701999896,334.9199701999896,335.9220721999882,335.9220721999882,x,1,0.5945453000022098,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,21,1,85,1,,,,,336.5386767999735,337.53641509998124,337.53641509998124,337.53641509998124,337.53641509998124,337.55305089999456,338.53674259997206,338.53674259997206,v,1,0.5917616999940947,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,21,2,86,2,,,,,339.1534895999939,340.1537145000184,340.1537145000184,340.1537145000184,340.1537145000184,340.1537145000184,341.15400849998696,341.15400849998696,c,1,0.6251712000230327,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,21,3,87,3,,,,,341.8041645999765,342.79458699998213,342.79458699998213,342.79458699998213,342.79458699998213,342.81425950000994,343.8138293999946,343.8138293999946,z,1,0.6791014999616891,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,22,0,88,0,,,,,344.5221344999736,345.5225618999684,345.5225618999684,345.5225618999684,345.5225618999684,345.5225618999684,346.510361499968,346.510361499968,x,1,0.43182110000634566,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,22,1,89,1,,,,,346.96454089996405,347.96212909999304,347.96212909999304,347.96212909999304,347.96212909999304,347.981119700009,348.96074949996546,348.96074949996546,v,1,0.694869099999778,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,22,2,90,2,,,,,349.6905774999759,350.6954849999747,350.6954849999747,350.6954849999747,350.6954849999747,350.6954849999747,351.6883446999709,351.6883446999709,c,1,0.6816132999956608,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,22,3,91,3,,,,,352.39402219996555,353.39820190001046,353.39820190001046,353.39820190001046,353.39820190001046,353.41725609998684,354.3905953000067,354.3905953000067,z,1,0.6416788999922574,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,23,0,92,0,,,,,355.0755700999871,356.0753204000066,356.0753204000066,356.0753204000066,356.0753204000066,356.0918115999666,357.0660732999677,357.0660732999677,x,1,0.5495719999889843,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,23,1,93,1,,,,,357.6579065999831,358.6468407000066,358.6468407000066,358.6468407000066,358.6468407000066,358.66530789999524,359.65729559998726,359.65729559998726,v,1,0.6323589999810793,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,23,2,94,2,,,,,360.3178121999954,361.3145752999699,361.3145752999699,361.3145752999699,361.3145752999699,361.3350789999822,362.3100529999938,362.3100529999938,c,1,0.671401200001128,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,23,3,95,3,,,,,363.0093153999769,363.99551119998796,363.99551119998796,363.99551119998796,363.99551119998796,364.0105874000001,365.0145437999745,365.0145437999745,z,1,0.5595940000494011,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,,,,,0,0,0,3,365.594884799968,366.58562199998414,366.58562199998414,366.58562199998414,366.58562199998414,366.6041637000162,367.5973956999951,367.5973956999951,z,1,0.6711733000120148,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
