2.6605 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
106.5537 	DATA 	Keypress: down
106.5655 	EXP 	fixation: autoDraw = False
106.5655 	EXP 	grating: autoDraw = False
106.5655 	EXP 	grating: ori = 0.0
106.5655 	EXP 	fixation: autoDraw = True
107.5658 	EXP 	fixation: autoDraw = False
107.5658 	EXP 	grating: autoDraw = True
107.8659 	EXP 	grating: autoDraw = False
108.4692 	EXP 	New trial (rep=51, index=0): None
108.4709 	DATA 	Keypress: down
108.4827 	EXP 	fixation: autoDraw = False
108.4827 	EXP 	grating: autoDraw = False
108.4827 	EXP 	grating: ori = -3.0
108.4827 	EXP 	fixation: autoDraw = True
109.4829 	EXP 	fixation: autoDraw = False
109.4829 	EXP 	grating: autoDraw = True
109.7829 	EXP 	grating: autoDraw = False
110.1196 	EXP 	New trial (rep=52, index=0): None
110.1214 	DATA 	Keypress: down
110.1330 	EXP 	fixation: autoDraw = False
110.1330 	EXP 	grating: autoDraw = False
110.1330 	EXP 	grating: ori = 0.0
110.1330 	EXP 	fixation: autoDraw = True
111.1333 	EXP 	fixation: autoDraw = False
111.1333 	EXP 	grating: autoDraw = True
111.4334 	EXP 	grating: autoDraw = False
111.8698 	EXP 	New trial (rep=53, index=0): None
111.8715 	DATA 	Keypress: down
111.8835 	EXP 	fixation: autoDraw = False
111.8835 	EXP 	grating: autoDraw = False
111.8835 	EXP 	grating: ori = 0.0
111.8835 	EXP 	fixation: autoDraw = True
112.8835 	EXP 	fixation: autoDraw = False
112.8835 	EXP 	grating: autoDraw = True
113.1837 	EXP 	grating: autoDraw = False
113.5206 	EXP 	New trial (rep=54, index=0): None
113.5224 	DATA 	Keypress: up
113.5338 	EXP 	fixation: autoDraw = False
113.5338 	EXP 	grating: autoDraw = False
113.5338 	EXP 	grating: ori = -4.0
113.5338 	EXP 	fixation: autoDraw = True
114.5340 	EXP 	fixation: autoDraw = False
114.5340 	EXP 	grating: autoDraw = True
114.8343 	EXP 	grating: autoDraw = False
115.3041 	EXP 	New trial (rep=55, index=0): None
115.3058 	DATA 	Keypress: down
115.3175 	EXP 	fixation: autoDraw = False
115.3175 	EXP 	grating: autoDraw = False
115.3175 	EXP 	grating: ori = 0.0
115.3175 	EXP 	fixation: autoDraw = True
116.3178 	EXP 	fixation: autoDraw = False
116.3178 	EXP 	grating: autoDraw = True
116.6179 	EXP 	grating: autoDraw = False
117.8048 	EXP 	New trial (rep=56, index=0): None
117.8066 	DATA 	Keypress: down
117.8181 	EXP 	fixation: autoDraw = False
117.8181 	EXP 	grating: autoDraw = False
117.8181 	EXP 	grating: ori = -5.0
117.8181 	EXP 	fixation: autoDraw = True
118.8182 	EXP 	fixation: autoDraw = False
118.8182 	EXP 	grating: autoDraw = True
119.1184 	EXP 	grating: autoDraw = False
119.4887 	EXP 	New trial (rep=57, index=0): None
119.4905 	DATA 	Keypress: down
119.5019 	EXP 	fixation: autoDraw = False
119.5019 	EXP 	grating: autoDraw = False
119.5019 	EXP 	grating: ori = 1.0
119.5019 	EXP 	fixation: autoDraw = True
120.5021 	EXP 	fixation: autoDraw = False
120.5021 	EXP 	grating: autoDraw = True
120.8021 	EXP 	grating: autoDraw = False
121.8223 	EXP 	New trial (rep=58, index=0): None
121.8240 	DATA 	Keypress: up
121.8357 	EXP 	fixation: autoDraw = False
121.8357 	EXP 	grating: autoDraw = False
121.8357 	EXP 	grating: ori = -5.0
121.8357 	EXP 	fixation: autoDraw = True
122.8361 	EXP 	fixation: autoDraw = False
122.8361 	EXP 	grating: autoDraw = True
123.1362 	EXP 	grating: autoDraw = False
123.4725 	EXP 	New trial (rep=59, index=0): None
123.4744 	DATA 	Keypress: down
123.4864 	EXP 	fixation: autoDraw = False
123.4864 	EXP 	grating: autoDraw = False
123.4864 	EXP 	grating: ori = 0.0
123.4864 	EXP 	fixation: autoDraw = True
124.4863 	EXP 	fixation: autoDraw = False
124.4863 	EXP 	grating: autoDraw = True
124.7864 	EXP 	grating: autoDraw = False
125.0898 	EXP 	New trial (rep=60, index=0): None
125.0917 	DATA 	Keypress: down
125.1033 	EXP 	fixation: autoDraw = False
125.1033 	EXP 	grating: autoDraw = False
125.1033 	EXP 	grating: ori = 4.0
125.1033 	EXP 	fixation: autoDraw = True
126.1033 	EXP 	fixation: autoDraw = False
126.1033 	EXP 	grating: autoDraw = True
126.4034 	EXP 	grating: autoDraw = False
126.9732 	EXP 	New trial (rep=61, index=0): None
126.9750 	DATA 	Keypress: down
