2.9246 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
98.1561 	EXP 	grating: autoDraw = True
98.1561 	EXP 	grating: tex = 'sin'
98.1721 	EXP 	fixation: autoDraw = False
98.4558 	EXP 	grating: autoDraw = False
98.5749 	EXP 	window1: recordFrameIntervals = False
98.5763 	DATA 	Keypress: left
98.5886 	EXP 	fixation: autoDraw = False
98.5886 	EXP 	grating: autoDraw = False
98.5888 	EXP 	window1: recordFrameIntervals = False
99.5863 	EXP 	fixation: autoDraw = True
100.5770 	EXP 	grating: autoDraw = True
100.5770 	EXP 	grating: tex = 'sin'
100.5928 	EXP 	fixation: autoDraw = False
100.8921 	EXP 	grating: autoDraw = False
101.0451 	EXP 	window1: recordFrameIntervals = False
101.0471 	DATA 	Keypress: left
101.0589 	EXP 	fixation: autoDraw = False
101.0589 	EXP 	grating: autoDraw = False
101.0595 	EXP 	window1: recordFrameIntervals = False
102.0577 	EXP 	fixation: autoDraw = True
103.0595 	EXP 	fixation: autoDraw = False
103.0595 	EXP 	grating: autoDraw = True
103.0595 	EXP 	grating: tex = 'sin'
103.3587 	EXP 	grating: autoDraw = False
103.3964 	DATA 	Keypress: right
103.4137 	EXP 	window1: recordFrameIntervals = False
103.4260 	EXP 	fixation: autoDraw = False
103.4260 	EXP 	grating: autoDraw = False
103.4264 	EXP 	window1: recordFrameIntervals = False
104.4231 	EXP 	fixation: autoDraw = True
105.4268 	EXP 	fixation: autoDraw = False
105.4268 	EXP 	grating: autoDraw = True
105.4268 	EXP 	grating: tex = 'sin'
105.7253 	EXP 	grating: autoDraw = False
105.8973 	EXP 	window1: recordFrameIntervals = False
105.8995 	DATA 	Keypress: right
105.9101 	EXP 	fixation: autoDraw = False
105.9101 	EXP 	grating: autoDraw = False
105.9104 	EXP 	window1: recordFrameIntervals = False
106.9096 	EXP 	fixation: autoDraw = True
107.9106 	EXP 	fixation: autoDraw = False
107.9106 	EXP 	grating: autoDraw = True
107.9106 	EXP 	grating: tex = 'sin'
108.2099 	EXP 	grating: autoDraw = False
108.2801 	EXP 	window1: recordFrameIntervals = False
108.2821 	DATA 	Keypress: left
108.2933 	EXP 	fixation: autoDraw = False
108.2933 	EXP 	grating: autoDraw = False
108.2936 	EXP 	window1: recordFrameIntervals = False
109.2911 	EXP 	fixation: autoDraw = True
110.2912 	EXP 	fixation: autoDraw = False
110.2912 	EXP 	grating: autoDraw = True
110.2912 	EXP 	grating: tex = 'sin'
110.5910 	EXP 	grating: autoDraw = False
110.5928 	EXP 	window1: recordFrameIntervals = False
110.5937 	DATA 	Keypress: right
110.6077 	EXP 	fixation: autoDraw = False
110.6077 	EXP 	grating: autoDraw = False
110.6078 	EXP 	window1: recordFrameIntervals = False
111.6051 	EXP 	fixation: autoDraw = True
112.6079 	EXP 	fixation: autoDraw = False
112.6079 	EXP 	grating: autoDraw = True
112.6079 	EXP 	grating: tex = 'sin'
112.9079 	EXP 	grating: autoDraw = False
112.9432 	EXP 	window1: recordFrameIntervals = False
112.9442 	DATA 	Keypress: left
112.9581 	EXP 	fixation: autoDraw = False
112.9581 	EXP 	grating: autoDraw = False
112.9583 	EXP 	window1: recordFrameIntervals = False
113.9604 	EXP 	fixation: autoDraw = True
114.9459 	EXP 	grating: autoDraw = True
114.9459 	EXP 	grating: tex = 'sin'
114.9626 	EXP 	fixation: autoDraw = False
115.2622 	EXP 	grating: autoDraw = False
115.4162 	EXP 	window1: recordFrameIntervals = False
115.4184 	DATA 	Keypress: right
115.4283 	EXP 	fixation: autoDraw = False
115.4283 	EXP 	grating: autoDraw = False
115.4287 	EXP 	window1: recordFrameIntervals = False
116.4253 	EXP 	fixation: autoDraw = True
117.4256 	EXP 	fixation: autoDraw = False
117.4256 	EXP 	grating: autoDraw = True
117.4256 	EXP 	grating: tex = 'sin'
117.7256 	EXP 	grating: autoDraw = False
117.7775 	EXP 	window1: recordFrameIntervals = False
117.7785 	DATA 	Keypress: left
117.7923 	EXP 	fixation: autoDraw = False
117.7923 	EXP 	grating: autoDraw = False
117.7924 	EXP 	window1: recordFrameIntervals = False
118.7923 	EXP 	fixation: autoDraw = True
119.7762 	EXP 	grating: autoDraw = True
119.7762 	EXP 	grating: tex = 'sin'
119.7930 	EXP 	fixation: autoDraw = False
120.0791 	EXP 	grating: autoDraw = False
120.3335 	EXP 	window1: recordFrameIntervals = False
120.3356 	DATA 	Keypress: left
120.3464 	EXP 	fixation: autoDraw = False
120.3464 	EXP 	grating: autoDraw = False
120.3467 	EXP 	window1: recordFrameIntervals = False
121.3434 	EXP 	fixation: autoDraw = True
122.3433 	EXP 	fixation: autoDraw = False
122.3433 	EXP 	grating: autoDraw = True
122.3433 	EXP 	grating: tex = 'sin'
122.6436 	EXP 	grating: autoDraw = False
122.6955 	EXP 	window1: recordFrameIntervals = False
122.6964 	DATA 	Keypress: right
122.7102 	EXP 	fixation: autoDraw = False
122.7102 	EXP 	grating: autoDraw = False
122.7103 	EXP 	window1: recordFrameIntervals = False
123.6970 	EXP 	fixation: autoDraw = True
124.6982 	EXP 	fixation: autoDraw = False
124.6982 	EXP 	grating: autoDraw = True
124.6982 	EXP 	grating: tex = 'sin'
125.0144 	EXP 	grating: autoDraw = False
125.0843 	EXP 	window1: recordFrameIntervals = False
125.0863 	DATA 	Keypress: left
125.0981 	EXP 	fixation: autoDraw = False
125.0981 	EXP 	grating: autoDraw = False
125.0984 	EXP 	window1: recordFrameIntervals = False
126.0958 	EXP 	fixation: autoDraw = True
127.0964 	EXP 	fixation: autoDraw = False
127.0964 	EXP 	grating: autoDraw = True
127.0964 	EXP 	grating: tex = 'sin'
127.4115 	EXP 	grating: autoDraw = False
127.5814 	EXP 	window1: recordFrameIntervals = False
127.5825 	DATA 	Keypress: left
127.5948 	EXP 	fixation: autoDraw = False
127.5948 	EXP 	grating: autoDraw = False
127.5949 	EXP 	window1: recordFrameIntervals = False
